text,label,clean_text_cased,clean_text_lower,label_numeric
U.S. Debt Lures Schroders as ECB Depresses Rates,neutral,U.S. Debt Lures Schroders as ECB Depresses Rates,u.s. debt lures schroders as ecb depresses rates,0.0
"Outotec is currently delivering a new oil shale processing plant for Eesti Energia in Estonia based on Enefit technology , which has been developed jointly by Eesti Energia and Outotec .",neutral,"Outotec is currently delivering a new oil shale processing plant for Eesti Energia in Estonia based on Enefit technology , which has been developed jointly by Eesti Energia and Outotec .","outotec is currently delivering a new oil shale processing plant for eesti energia in estonia based on enefit technology , which has been developed jointly by eesti energia and outotec .",0.0
The EPS outlook was increased by 5.6 pct for 2007 and 7.0 pct for 2008 .,positive,The EPS outlook was increased by 5.6 pct for 2007 and 7.0 pct for 2008 .,the eps outlook was increased by 5.6 pct for 2007 and 7.0 pct for 2008 .,1.0
The company has some 410 employees and an annual turnover of EUR65 .4 m. Vaahto Group is listed on the Nordic Exchange in Helsinki .,neutral,The company has some 410 employees and an annual turnover of EUR65 .4 m. Vaahto Group is listed on the Nordic Exchange in Helsinki .,the company has some 410 employees and an annual turnover of eur65 .4 m. vaahto group is listed on the nordic exchange in helsinki .,0.0
"$DPZ broke out now of his bull flag channel and make new highs, but volume is very poor",positive,"DPZ broke out now of his bull flag channel and make new highs, but volume is very poor","dpz broke out now of his bull flag channel and make new highs, but volume is very poor",1.0
"$AMZN rejected that 604 to the penny. Weak open and it goes r/g within first 30 mins, could have 8-10 points in it. https://t.co/58tEAEXxpE",negative,"AMZN rejected that 604 to the penny. Weak open and it goes r g within first 30 mins, could have 8-10 points in it.","amzn rejected that 604 to the penny. weak open and it goes r g within first 30 mins, could have 8-10 points in it.",-1.0
This $BBBY stock options trade would have more than doubled your money https://t.co/Oa0loiRIJL via @TheStreet,positive,This BBBY stock options trade would have more than doubled your money via TheStreet,this bbby stock options trade would have more than doubled your money via thestreet,1.0
"Pretax loss totaled EUR 1.2 mn , down from a profit of EUR 2.1 mn in 2004 .",negative,"Pretax loss totaled EUR 1.2 mn , down from a profit of EUR 2.1 mn in 2004 .","pretax loss totaled eur 1.2 mn , down from a profit of eur 2.1 mn in 2004 .",-1.0
#Tesla Model S deliveries are up 35% in Germany - record deliveries in March [Chart] https://t.co/yCnClcBImV  $TSLA,positive,Tesla Model S deliveries are up 35 in Germany - record deliveries in March Chart TSLA,tesla model s deliveries are up 35 in germany - record deliveries in march chart tsla,1.0
Operating profit of the Asian plants grew markedly .,positive,Operating profit of the Asian plants grew markedly .,operating profit of the asian plants grew markedly .,1.0
"The prosecutor is also demanding Outokumpu pay a fine of EUR 800,000 at most .",negative,"The prosecutor is also demanding Outokumpu pay a fine of EUR 800,000 at most .","the prosecutor is also demanding outokumpu pay a fine of eur 800,000 at most .",-1.0
"Konecranes has previously communicated an estimated reduction of about 1,600 employees on group level in 2009 .",negative,"Konecranes has previously communicated an estimated reduction of about 1,600 employees on group level in 2009 .","konecranes has previously communicated an estimated reduction of about 1,600 employees on group level in 2009 .",-1.0
The Oulu plant employs approximately 120 people .,neutral,The Oulu plant employs approximately 120 people .,the oulu plant employs approximately 120 people .,0.0
at 9:00 EET Alma Media 's Annual Report for 2009 is scheduled to be published in calendar week 9 .,neutral,at 9 00 EET Alma Media 's Annual Report for 2009 is scheduled to be published in calendar week 9 .,at 9 00 eet alma media 's annual report for 2009 is scheduled to be published in calendar week 9 .,0.0
"SCOPI Chief Business Excellence Officer , Eng .",neutral,"SCOPI Chief Business Excellence Officer , Eng .","scopi chief business excellence officer , eng .",0.0
"The share capital of Basware Corporation is 11,720,829 .",neutral,"The share capital of Basware Corporation is 11,720,829 .","the share capital of basware corporation is 11,720,829 .",0.0
New Morrisons duo get former boss's support to diffuse investor tension,positive,New Morrisons duo get former boss's support to diffuse investor tension,new morrisons duo get former boss's support to diffuse investor tension,1.0
The order also includes start-up and commissioning services .,neutral,The order also includes start-up and commissioning services .,the order also includes start-up and commissioning services .,0.0
"`` UPM 's deliveries increased during the third quarter by 4 percent , and the efficiency of operations improved , '' Chief Executive Jussi Pesonen said .",positive,"UPM 's deliveries increased during the third quarter by 4 percent , and the efficiency of operations improved , '' Chief Executive Jussi Pesonen said .","upm 's deliveries increased during the third quarter by 4 percent , and the efficiency of operations improved , '' chief executive jussi pesonen said .",1.0
Outokumpu 's chief executive Juha Rantanen expressed his confidence in China market .,positive,Outokumpu 's chief executive Juha Rantanen expressed his confidence in China market .,outokumpu 's chief executive juha rantanen expressed his confidence in china market .,1.0
Mr K.R. Vasantha has been appointed Managing Director of Incap Contract Manufacturing Services Pvt. Ltd. .,neutral,Mr K.R. Vasantha has been appointed Managing Director of Incap Contract Manufacturing Services Pvt. Ltd. .,mr k.r. vasantha has been appointed managing director of incap contract manufacturing services pvt. ltd. .,0.0
"The company is in charge of all natural gas storage activities in France , Great Britain , and Germany .",neutral,"The company is in charge of all natural gas storage activities in France , Great Britain , and Germany .","the company is in charge of all natural gas storage activities in france , great britain , and germany .",0.0
This solution is an extension to the existing online mediation solution delivered earlier by Comptel and IBM .,neutral,This solution is an extension to the existing online mediation solution delivered earlier by Comptel and IBM .,this solution is an extension to the existing online mediation solution delivered earlier by comptel and ibm .,0.0
"With the U.S. Federal Government putting a stake in the ground , vendors - and their customers - are focused on meeting the deadline .",neutral,"With the U.S. Federal Government putting a stake in the ground , vendors - and their customers - are focused on meeting the deadline .","with the u.s. federal government putting a stake in the ground , vendors - and their customers - are focused on meeting the deadline .",0.0
"Finnish construction company YIT Corporation is planning to build about 200 high-quality holiday homes near the Tahko ski and spa resort , in Finland .",positive,"Finnish construction company YIT Corporation is planning to build about 200 high-quality holiday homes near the Tahko ski and spa resort , in Finland .","finnish construction company yit corporation is planning to build about 200 high-quality holiday homes near the tahko ski and spa resort , in finland .",1.0
"Operating profit totaled EUR 6.7 mn , down from EUR 7.2 mn in the corresponding period in 2005 .",neutral,"Operating profit totaled EUR 6.7 mn , down from EUR 7.2 mn in the corresponding period in 2005 .","operating profit totaled eur 6.7 mn , down from eur 7.2 mn in the corresponding period in 2005 .",0.0
The third order awarded to Outokumpu Technology is by Shalkiya Zinc of Kazakhstan for the Shalkiya zinc-lead project in Kazakhstan .,positive,The third order awarded to Outokumpu Technology is by Shalkiya Zinc of Kazakhstan for the Shalkiya zinc-lead project in Kazakhstan .,the third order awarded to outokumpu technology is by shalkiya zinc of kazakhstan for the shalkiya zinc-lead project in kazakhstan .,1.0
"In June it sold a 30 percent stake to Nordstjernan , and the investment group has now taken up the option to acquire EQT 's remaining shares .",neutral,"In June it sold a 30 percent stake to Nordstjernan , and the investment group has now taken up the option to acquire EQT 's remaining shares .","in june it sold a 30 percent stake to nordstjernan , and the investment group has now taken up the option to acquire eqt 's remaining shares .",0.0
"Tiimari Latvian representative Ineta Zaharova said that the company earned LVL 122,000 in 2005 profit , which is 20 times more that in 2004 .",positive,"Tiimari Latvian representative Ineta Zaharova said that the company earned LVL 122,000 in 2005 profit , which is 20 times more that in 2004 .","tiimari latvian representative ineta zaharova said that the company earned lvl 122,000 in 2005 profit , which is 20 times more that in 2004 .",1.0
"Operating profit fell to EUR 35.4 mn from EUR 68.8 mn in 2007 , including vessel sales gain of EUR 12.3 mn .",negative,"Operating profit fell to EUR 35.4 mn from EUR 68.8 mn in 2007 , including vessel sales gain of EUR 12.3 mn .","operating profit fell to eur 35.4 mn from eur 68.8 mn in 2007 , including vessel sales gain of eur 12.3 mn .",-1.0
$SMH got a sell signal on 6/4 and needs to take out 39.28 to go higher otherwise headed lower than 37.60 gap below at 35.38,negative,SMH got a sell signal on 6 4 and needs to take out 39.28 to go higher otherwise headed lower than 37.60 gap below at 35.38,smh got a sell signal on 6 4 and needs to take out 39.28 to go higher otherwise headed lower than 37.60 gap below at 35.38,-1.0
The negotiations concern 246 salaried and senior salaried employees and are scheduled to be completed in six weeks .,neutral,The negotiations concern 246 salaried and senior salaried employees and are scheduled to be completed in six weeks .,the negotiations concern 246 salaried and senior salaried employees and are scheduled to be completed in six weeks .,0.0
The production is to be liquidated before June 2009 and 325 employees loose their jobs .,negative,The production is to be liquidated before June 2009 and 325 employees loose their jobs .,the production is to be liquidated before june 2009 and 325 employees loose their jobs .,-1.0
"ADP News - May 29 , 2009 - Bank of America BofA downgraded today its ratings on Swedish-Finnish paper maker Stora Enso Oyj HEL : STERV and on Finnish sector player UPM-Kymmene Oyj HEL : UPM1V to `` underperf",neutral,"ADP News - May 29 , 2009 - Bank of America BofA downgraded today its ratings on Swedish-Finnish paper maker Stora Enso Oyj HEL STERV and on Finnish sector player UPM-Kymmene Oyj HEL UPM1V to underperf","adp news - may 29 , 2009 - bank of america bofa downgraded today its ratings on swedish-finnish paper maker stora enso oyj hel sterv and on finnish sector player upm-kymmene oyj hel upm1v to underperf",0.0
Deutsche Bank downgrades Starbucks because of new loyalty program https://t.co/Iy4LCUGABc $SBUX,negative,Deutsche Bank downgrades Starbucks because of new loyalty program SBUX,deutsche bank downgrades starbucks because of new loyalty program sbux,-1.0
"Operating profit , excluding non-recurring items , totalled EUR 1.0 mn , down from EUR 1.6 mn .",neutral,"Operating profit , excluding non-recurring items , totalled EUR 1.0 mn , down from EUR 1.6 mn .","operating profit , excluding non-recurring items , totalled eur 1.0 mn , down from eur 1.6 mn .",0.0
"The company said Offshore segment represented 43 % of the total marine engines orders for the July-September 2010 period , Merchant 33 % , Special vessels 18 % , and Cruise and Ferry , and Ship Design -- 2 % and 3 % , respectively .",neutral,"The company said Offshore segment represented 43 of the total marine engines orders for the July-September 2010 period , Merchant 33 , Special vessels 18 , and Cruise and Ferry , and Ship Design -- 2 and 3 , respectively .","the company said offshore segment represented 43 of the total marine engines orders for the july-september 2010 period , merchant 33 , special vessels 18 , and cruise and ferry , and ship design -- 2 and 3 , respectively .",0.0
"Finnish Vaahto Group that provides paper-making technology and process machinery is starting negotiations concerning the temporary lay-offs of all 140 employees at the company 's plants in Hollola and Tampere , in Finland .",neutral,"Finnish Vaahto Group that provides paper-making technology and process machinery is starting negotiations concerning the temporary lay-offs of all 140 employees at the company 's plants in Hollola and Tampere , in Finland .","finnish vaahto group that provides paper-making technology and process machinery is starting negotiations concerning the temporary lay-offs of all 140 employees at the company 's plants in hollola and tampere , in finland .",0.0
"According to Finnish petrol station chain St1 's managing director Kim Wiio , the company was forced to make purchases with rising prices in the first half of 2008 , and now consumer prices are going down almost daily due to competition .",negative,"According to Finnish petrol station chain St1 's managing director Kim Wiio , the company was forced to make purchases with rising prices in the first half of 2008 , and now consumer prices are going down almost daily due to competition .","according to finnish petrol station chain st1 's managing director kim wiio , the company was forced to make purchases with rising prices in the first half of 2008 , and now consumer prices are going down almost daily due to competition .",-1.0
A filter is used to pre-process packets to determine if they need to be further processed by the processor of the network device .,neutral,A filter is used to pre-process packets to determine if they need to be further processed by the processor of the network device .,a filter is used to pre-process packets to determine if they need to be further processed by the processor of the network device .,0.0
"Altona stated that the private company of Altona chairman Kevin Maloney , Tulla Resources , would take up its entitlement in full .",neutral,"Altona stated that the private company of Altona chairman Kevin Maloney , Tulla Resources , would take up its entitlement in full .","altona stated that the private company of altona chairman kevin maloney , tulla resources , would take up its entitlement in full .",0.0
"However , net sales in 2010 are seen to have grown to EUR598 .3 m from EUR582 .3 m in 2009 .",positive,"However , net sales in 2010 are seen to have grown to EUR598 .3 m from EUR582 .3 m in 2009 .","however , net sales in 2010 are seen to have grown to eur598 .3 m from eur582 .3 m in 2009 .",1.0
"The Dutch broker noted that Nokian Tyres reported a good first quarter in 2006 , above or in line with consensus .",positive,"The Dutch broker noted that Nokian Tyres reported a good first quarter in 2006 , above or in line with consensus .","the dutch broker noted that nokian tyres reported a good first quarter in 2006 , above or in line with consensus .",1.0
"Okhta Center area is expected to have about 700,000 square metres of office premises by 2016 .",neutral,"Okhta Center area is expected to have about 700,000 square metres of office premises by 2016 .","okhta center area is expected to have about 700,000 square metres of office premises by 2016 .",0.0
Operating profit improved to EUR 20.3 mn from EUR 11.4 mn .,positive,Operating profit improved to EUR 20.3 mn from EUR 11.4 mn .,operating profit improved to eur 20.3 mn from eur 11.4 mn .,1.0
stores 16 March 2010 - Finnish stationery and gift retailer Tiimari HEL : TII1V said yesterday that it will cut a total of 28 jobs in its units Tiimari Retail Ltd and Gallerix Finland Ltd as a result of the closure of shops .,negative,stores 16 March 2010 - Finnish stationery and gift retailer Tiimari HEL TII1V said yesterday that it will cut a total of 28 jobs in its units Tiimari Retail Ltd and Gallerix Finland Ltd as a result of the closure of shops .,stores 16 march 2010 - finnish stationery and gift retailer tiimari hel tii1v said yesterday that it will cut a total of 28 jobs in its units tiimari retail ltd and gallerix finland ltd as a result of the closure of shops .,-1.0
The transaction is expected to be completed next spring .,neutral,The transaction is expected to be completed next spring .,the transaction is expected to be completed next spring .,0.0
The company expects its net sales for the whole 2009 to remain below the 2008 level .,neutral,The company expects its net sales for the whole 2009 to remain below the 2008 level .,the company expects its net sales for the whole 2009 to remain below the 2008 level .,0.0
"Both operating profit and net sales for the 12-month period increased , respectively from EUR21 .5 m and EUR196 .1 m , as compared to 2005 .",positive,"Both operating profit and net sales for the 12-month period increased , respectively from EUR21 .5 m and EUR196 .1 m , as compared to 2005 .","both operating profit and net sales for the 12-month period increased , respectively from eur21 .5 m and eur196 .1 m , as compared to 2005 .",1.0
"The company serves customers in various industries , including process and resources , industrial machinery , architecture , building , construction , electrical , transportation , electronics , chemical , petrochemical , energy , and information technology , as well as catering and households .",neutral,"The company serves customers in various industries , including process and resources , industrial machinery , architecture , building , construction , electrical , transportation , electronics , chemical , petrochemical , energy , and information technology , as well as catering and households .","the company serves customers in various industries , including process and resources , industrial machinery , architecture , building , construction , electrical , transportation , electronics , chemical , petrochemical , energy , and information technology , as well as catering and households .",0.0
Customers in a wide range of industries use our stainless steel and services worldwide .,neutral,Customers in a wide range of industries use our stainless steel and services worldwide .,customers in a wide range of industries use our stainless steel and services worldwide .,0.0
"The total number of voting rights is 74,612,523 .",neutral,"The total number of voting rights is 74,612,523 .","the total number of voting rights is 74,612,523 .",0.0
"mr Bakman sees also expansion options on the Tallinn-Helisnki link , claiming however , that operating the link with only a single ship is not enough .",neutral,"mr Bakman sees also expansion options on the Tallinn-Helisnki link , claiming however , that operating the link with only a single ship is not enough .","mr bakman sees also expansion options on the tallinn-helisnki link , claiming however , that operating the link with only a single ship is not enough .",0.0
$ZAGG getting ready...Target $15 plus on a close over $13.50 on better than avg daily Volume http://chart.ly/lha44tn,positive,ZAGG getting ready...Target 15 plus on a close over 13.50 on better than avg daily Volume,zagg getting ready...target 15 plus on a close over 13.50 on better than avg daily volume,1.0
"The Finnish national carrier said net loss in April through June was euro26 million , down from a net profit of euro13 million a year earlier .",negative,"The Finnish national carrier said net loss in April through June was euro26 million , down from a net profit of euro13 million a year earlier .","the finnish national carrier said net loss in april through june was euro26 million , down from a net profit of euro13 million a year earlier .",-1.0
"The EU Commission said earlier it had fined ThyssenKrupp , United Technologies Corp 's Otis , Schindler AG and Kone Oyj a total of 992.3 mln eur for alleged cartel activity in the lift market going back twelve years .",negative,"The EU Commission said earlier it had fined ThyssenKrupp , United Technologies Corp 's Otis , Schindler AG and Kone Oyj a total of 992.3 mln eur for alleged cartel activity in the lift market going back twelve years .","the eu commission said earlier it had fined thyssenkrupp , united technologies corp 's otis , schindler ag and kone oyj a total of 992.3 mln eur for alleged cartel activity in the lift market going back twelve years .",-1.0
Recently the company decided to build a second identical plant at the same site due to be commissioned toward the end of 2008 .,neutral,Recently the company decided to build a second identical plant at the same site due to be commissioned toward the end of 2008 .,recently the company decided to build a second identical plant at the same site due to be commissioned toward the end of 2008 .,0.0
for @vnoto74 to follow:  after a SELL signal by $NDX internals [06/23] ~> technical SELL $QQQ [06/25] ~> DOWN,negative,for vnoto74 to follow after a SELL signal by NDX internals 06 23 technical SELL QQQ 06 25 DOWN,for vnoto74 to follow after a sell signal by ndx internals 06 23 technical sell qqq 06 25 down,-1.0
Talentum 's net sales in September were smaller than expected .,neutral,Talentum 's net sales in September were smaller than expected .,talentum 's net sales in september were smaller than expected .,0.0
"India 's trade with Russia currently stands at four billion dollars , growing 9.6 per cent in fiscal 2007 .",positive,"India 's trade with Russia currently stands at four billion dollars , growing 9.6 per cent in fiscal 2007 .","india 's trade with russia currently stands at four billion dollars , growing 9.6 per cent in fiscal 2007 .",1.0
An EU law on the issue may be introduced around 2010 .,neutral,An EU law on the issue may be introduced around 2010 .,an eu law on the issue may be introduced around 2010 .,0.0
$BIOC RSI extremely in long's favor looking at BIOC historically.,positive,BIOC RSI extremely in long's favor looking at BIOC historically.,bioc rsi extremely in long's favor looking at bioc historically.,1.0
"Consolidated operating profit excluding one-off items was EUR 30.6 mn , up from EUR 29.6 mn a year earlier .",positive,"Consolidated operating profit excluding one-off items was EUR 30.6 mn , up from EUR 29.6 mn a year earlier .","consolidated operating profit excluding one-off items was eur 30.6 mn , up from eur 29.6 mn a year earlier .",1.0
A broad range of connectivity options including 3G - HSPA and Wi-Fi gives consumers high speed access to the Internet .,neutral,A broad range of connectivity options including 3G - HSPA and Wi-Fi gives consumers high speed access to the Internet .,a broad range of connectivity options including 3g - hspa and wi-fi gives consumers high speed access to the internet .,0.0
"Seven-month sales of Ragutis , which is controlled by the Finnish brewery Olvi , declined by 11.2 percent , to 15.41 million liters , and the company held 9.89 percent of the market .",neutral,"Seven-month sales of Ragutis , which is controlled by the Finnish brewery Olvi , declined by 11.2 percent , to 15.41 million liters , and the company held 9.89 percent of the market .","seven-month sales of ragutis , which is controlled by the finnish brewery olvi , declined by 11.2 percent , to 15.41 million liters , and the company held 9.89 percent of the market .",0.0
"Its product portfolio comprises harvesters , forwarders , harvester heads , as well as cranes and loaders .",neutral,"Its product portfolio comprises harvesters , forwarders , harvester heads , as well as cranes and loaders .","its product portfolio comprises harvesters , forwarders , harvester heads , as well as cranes and loaders .",0.0
$YHOO About to break out on the 5-min...,positive,YHOO About to break out on the 5-min...,yhoo about to break out on the 5-min...,1.0
"Digia will also set up two subsidiaries , Digia Norway AS and Digia USA Inc. .",neutral,"Digia will also set up two subsidiaries , Digia Norway AS and Digia USA Inc. .","digia will also set up two subsidiaries , digia norway as and digia usa inc. .",0.0
"The contract also includes cutting and edging wagon parts at Ruukki 's steel service centres in Seinajoki and Raahe , from where they will be delivered to VR for welding and assembly .",neutral,"The contract also includes cutting and edging wagon parts at Ruukki 's steel service centres in Seinajoki and Raahe , from where they will be delivered to VR for welding and assembly .","the contract also includes cutting and edging wagon parts at ruukki 's steel service centres in seinajoki and raahe , from where they will be delivered to vr for welding and assembly .",0.0
AB InBev attacks SABMiller bid rebuffal,negative,AB InBev attacks SABMiller bid rebuffal,ab inbev attacks sabmiller bid rebuffal,-1.0
"efficiency improvement measures 20 January 2010 - Finnish stationery and gift retailer Tiimari HEL : TII1V said today that it will continue to improve its operational efficiency , by focusing on its profitable core operations .",positive,"efficiency improvement measures 20 January 2010 - Finnish stationery and gift retailer Tiimari HEL TII1V said today that it will continue to improve its operational efficiency , by focusing on its profitable core operations .","efficiency improvement measures 20 january 2010 - finnish stationery and gift retailer tiimari hel tii1v said today that it will continue to improve its operational efficiency , by focusing on its profitable core operations .",1.0
"It operates under three distinct brands : United Supermarkets , Market Street and United Supermercado .",neutral,"It operates under three distinct brands United Supermarkets , Market Street and United Supermercado .","it operates under three distinct brands united supermarkets , market street and united supermercado .",0.0
Earnings per share ( EPS ) amounted to a loss of to EUR0 .06 .,negative,Earnings per share EPS amounted to a loss of to EUR0 .06 .,earnings per share eps amounted to a loss of to eur0 .06 .,-1.0
"The business had gross written premiums of EUR152 .4 m (  91.5 m ) in 2000 , a net combined ratio of 133 % and 175 staff in total with offices in the UK , Germany and Benelux .",neutral,"The business had gross written premiums of EUR152 .4 m 91.5 m in 2000 , a net combined ratio of 133 and 175 staff in total with offices in the UK , Germany and Benelux .","the business had gross written premiums of eur152 .4 m 91.5 m in 2000 , a net combined ratio of 133 and 175 staff in total with offices in the uk , germany and benelux .",0.0
"ALEXANDRIA , Va. , May 23 -- Matti Harkonen and Pentti Sipponen , both of Espoo , Finland , Osmo Suovaniemi of Helsinki , Finland , and Tapani Tiusanen of Vantaa , Finland , have developed a paper web press device .",neutral,"ALEXANDRIA , Va. , May 23 -- Matti Harkonen and Pentti Sipponen , both of Espoo , Finland , Osmo Suovaniemi of Helsinki , Finland , and Tapani Tiusanen of Vantaa , Finland , have developed a paper web press device .","alexandria , va. , may 23 -- matti harkonen and pentti sipponen , both of espoo , finland , osmo suovaniemi of helsinki , finland , and tapani tiusanen of vantaa , finland , have developed a paper web press device .",0.0
"Customers wave cards in front of the reader to make payments , similar to `` touch and go '' cards used in transport systems .",neutral,"Customers wave cards in front of the reader to make payments , similar to touch and go '' cards used in transport systems .","customers wave cards in front of the reader to make payments , similar to touch and go '' cards used in transport systems .",0.0
$BBRY nice bounce,positive,BBRY nice bounce,bbry nice bounce,1.0
"However , in March 2009 , the government of St. Petersburg passed the front part of the building with the area 1,900 square metres and a land plot for a hotel worth USD 10-15mn to the company Delta .",neutral,"However , in March 2009 , the government of St. Petersburg passed the front part of the building with the area 1,900 square metres and a land plot for a hotel worth USD 10-15mn to the company Delta .","however , in march 2009 , the government of st. petersburg passed the front part of the building with the area 1,900 square metres and a land plot for a hotel worth usd 10-15mn to the company delta .",0.0
Pharmaceutical market in Belgium Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Belgium .,neutral,Pharmaceutical market in Belgium Global Research Data Services published recently a market analysis about the pharmaceutical markets in Belgium .,pharmaceutical market in belgium global research data services published recently a market analysis about the pharmaceutical markets in belgium .,0.0
Marimekko Group 's full-year net sales are estimated to increase by about 10 % .,positive,Marimekko Group 's full-year net sales are estimated to increase by about 10 .,marimekko group 's full-year net sales are estimated to increase by about 10 .,1.0
Her last position in Nokia Siemens Networks was head of Business Human Resources NSN global IT .,neutral,Her last position in Nokia Siemens Networks was head of Business Human Resources NSN global IT .,her last position in nokia siemens networks was head of business human resources nsn global it .,0.0
Wellness services will be important in the future .,neutral,Wellness services will be important in the future .,wellness services will be important in the future .,0.0
Teleste expects to start the deliveries at the end of 2009 .,neutral,Teleste expects to start the deliveries at the end of 2009 .,teleste expects to start the deliveries at the end of 2009 .,0.0
"A total EUR73 .7 m will be provided as secured senior three-year debt from the syndicate , involving Pohjola Bank HEL : POH1S , the Finnish arm of Nordea Bank AB STO : NDA , and Sampo Bank HEL : SAMAS .",neutral,"A total EUR73 .7 m will be provided as secured senior three-year debt from the syndicate , involving Pohjola Bank HEL POH1S , the Finnish arm of Nordea Bank AB STO NDA , and Sampo Bank HEL SAMAS .","a total eur73 .7 m will be provided as secured senior three-year debt from the syndicate , involving pohjola bank hel poh1s , the finnish arm of nordea bank ab sto nda , and sampo bank hel samas .",0.0
"As reported June 26 , `` both circuits continued to alternately report the track as vacant and then occupied almost constantly from June 17 , when part of the track signaling device was replaced , to the time of the crash , according to the Metro source . ''",neutral,"As reported June 26 , both circuits continued to alternately report the track as vacant and then occupied almost constantly from June 17 , when part of the track signaling device was replaced , to the time of the crash , according to the Metro source . ''","as reported june 26 , both circuits continued to alternately report the track as vacant and then occupied almost constantly from june 17 , when part of the track signaling device was replaced , to the time of the crash , according to the metro source . ''",0.0
$JNK http://stks.co/2Fcm Does not want to go down... risk appetite still high,positive,JNK Does not want to go down... risk appetite still high,jnk does not want to go down... risk appetite still high,1.0
"Product coverage : baked goods ; biscuits ; breakfast cereals Data coverage : market sizes historic and forecasts , company shares , brand shares and distribution data .",neutral,"Product coverage baked goods biscuits breakfast cereals Data coverage market sizes historic and forecasts , company shares , brand shares and distribution data .","product coverage baked goods biscuits breakfast cereals data coverage market sizes historic and forecasts , company shares , brand shares and distribution data .",0.0
The closing of such transaction took place today .,neutral,The closing of such transaction took place today .,the closing of such transaction took place today .,0.0
AstraZeneca diabetes drug combination faces delay after FDA rebuff,negative,AstraZeneca diabetes drug combination faces delay after FDA rebuff,astrazeneca diabetes drug combination faces delay after fda rebuff,-1.0
"The major part of the deliveries include different AC and CXE amplifier solutions and products by Belgian DINH Telecom , a broadband solutions company acquired by Teleste in the spring of 2007 .",neutral,"The major part of the deliveries include different AC and CXE amplifier solutions and products by Belgian DINH Telecom , a broadband solutions company acquired by Teleste in the spring of 2007 .","the major part of the deliveries include different ac and cxe amplifier solutions and products by belgian dinh telecom , a broadband solutions company acquired by teleste in the spring of 2007 .",0.0
"Following the registration , the share capital of Biotie is EUR 52,556,678.10 .",neutral,"Following the registration , the share capital of Biotie is EUR 52,556,678.10 .","following the registration , the share capital of biotie is eur 52,556,678.10 .",0.0
"Meanwhile , Alfa owns 25.1 % of MegaFon through Altimo , and 4.99 % of Turkcell via an 18.5 % stake in Cukurova Holding .",neutral,"Meanwhile , Alfa owns 25.1 of MegaFon through Altimo , and 4.99 of Turkcell via an 18.5 stake in Cukurova Holding .","meanwhile , alfa owns 25.1 of megafon through altimo , and 4.99 of turkcell via an 18.5 stake in cukurova holding .",0.0
Scanfil issued a profit warning on 10 April 2006 .,negative,Scanfil issued a profit warning on 10 April 2006 .,scanfil issued a profit warning on 10 april 2006 .,-1.0
The borrower was happy to do the roadshow and this paid off as the hit ratio from it was high .,positive,The borrower was happy to do the roadshow and this paid off as the hit ratio from it was high .,the borrower was happy to do the roadshow and this paid off as the hit ratio from it was high .,1.0
"The contract also includes cutting and edging wagon parts at Ruukki 's steel service centres in Seinajoki and Raahe , both in southwestern Finland , from where they will be delivered to VR for welding and assembly .",neutral,"The contract also includes cutting and edging wagon parts at Ruukki 's steel service centres in Seinajoki and Raahe , both in southwestern Finland , from where they will be delivered to VR for welding and assembly .","the contract also includes cutting and edging wagon parts at ruukki 's steel service centres in seinajoki and raahe , both in southwestern finland , from where they will be delivered to vr for welding and assembly .",0.0
"The shopping center to be opened in St. Petersburg , Russia in November 2010 will turn the cash flow of Finnish department store chain Stockmann 's Russian operations positive for the first time in 2011 .",positive,"The shopping center to be opened in St. Petersburg , Russia in November 2010 will turn the cash flow of Finnish department store chain Stockmann 's Russian operations positive for the first time in 2011 .","the shopping center to be opened in st. petersburg , russia in november 2010 will turn the cash flow of finnish department store chain stockmann 's russian operations positive for the first time in 2011 .",1.0
Finnish investment company Neomarkka is the main owner of Kuitu Finland 's successor .,neutral,Finnish investment company Neomarkka is the main owner of Kuitu Finland 's successor .,finnish investment company neomarkka is the main owner of kuitu finland 's successor .,0.0
"So far Norwegian Norske Skog has reduced the staff levels by 1,000 people and plans to reduce production by 200,000 tons in 2008 , while Finnish-Swedish Stora Enso is to cut staff by 1,700 people and production by 500,000 tons .",neutral,"So far Norwegian Norske Skog has reduced the staff levels by 1,000 people and plans to reduce production by 200,000 tons in 2008 , while Finnish-Swedish Stora Enso is to cut staff by 1,700 people and production by 500,000 tons .","so far norwegian norske skog has reduced the staff levels by 1,000 people and plans to reduce production by 200,000 tons in 2008 , while finnish-swedish stora enso is to cut staff by 1,700 people and production by 500,000 tons .",0.0
$XLB the weakest sector this year and possible false breakout  http://stks.co/dL1Z,negative,XLB the weakest sector this year and possible false breakout,xlb the weakest sector this year and possible false breakout,-1.0
UPDATE 1-Pearson expects to grow this year after solid end to 2014,positive,UPDATE 1-Pearson expects to grow this year after solid end to 2014,update 1-pearson expects to grow this year after solid end to 2014,1.0
"UPM-Kymmene Corp. , the world 's largest maker of magazine paper , on Tuesday reported a 19-percent profit drop as lower paper prices , higher costs and a strong euro hurt revenue .",neutral,"UPM-Kymmene Corp. , the world 's largest maker of magazine paper , on Tuesday reported a 19-percent profit drop as lower paper prices , higher costs and a strong euro hurt revenue .","upm-kymmene corp. , the world 's largest maker of magazine paper , on tuesday reported a 19-percent profit drop as lower paper prices , higher costs and a strong euro hurt revenue .",0.0
